fetched_at,commence_time,home_team,away_team,bookmaker,market,team,price,point
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,pinnacle,totals,Over,-108,149.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,pinnacle,totals,Under,-112,149.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,betmgm,h2h,Kentucky Wildcats,-160,
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,betmgm,h2h,Missouri Tigers,135,
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,betmgm,spreads,Kentucky Wildcats,-115,-2.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,betmgm,spreads,Missouri Tigers,-105,2.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,betmgm,totals,Over,-110,148.5
20260312,2026-03-12T16:30:00Z,Missouri Tigers,Kentucky Wildcats,betmgm,totals,Under,-110,148.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,fanduel,h2h,Iowa State Cyclones,-300,
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,fanduel,h2h,Texas Tech Red Raiders,240,
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,fanduel,spreads,Iowa State Cyclones,-115,-6.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,fanduel,spreads,Texas Tech Red Raiders,-105,6.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,fanduel,totals,Over,-110,143.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,fanduel,totals,Under,-110,143.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,draftkings,h2h,Iowa State Cyclones,-298,
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,draftkings,h2h,Texas Tech Red Raiders,240,
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,draftkings,spreads,Iowa State Cyclones,-115,-6.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,draftkings,spreads,Texas Tech Red Raiders,-105,6.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,draftkings,totals,Over,-112,143.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,draftkings,totals,Under,-108,143.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,pinnacle,h2h,Iowa State Cyclones,-268,
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,pinnacle,h2h,Texas Tech Red Raiders,222,
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,pinnacle,spreads,Iowa State Cyclones,-110,-6.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,pinnacle,spreads,Texas Tech Red Raiders,-106,6.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,pinnacle,totals,Over,-107,143.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,pinnacle,totals,Under,-113,143.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,betmgm,h2h,Iowa State Cyclones,-300,
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,betmgm,h2h,Texas Tech Red Raiders,240,
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,betmgm,spreads,Iowa State Cyclones,-118,-6.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,betmgm,spreads,Texas Tech Red Raiders,-102,6.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,betmgm,totals,Over,-115,143.5
20260312,2026-03-12T16:30:30Z,Texas Tech Red Raiders,Iowa State Cyclones,betmgm,totals,Under,-105,143.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,fanduel,h2h,Bowling Green Falcons,104,
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,fanduel,h2h,Toledo Rockets,-125,
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,fanduel,spreads,Bowling Green Falcons,-110,1.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,fanduel,spreads,Toledo Rockets,-110,-1.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,fanduel,totals,Over,-110,151.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,fanduel,totals,Under,-110,151.5
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,draftkings,h2h,Bowling Green Falcons,105,
20260312,2026-03-12T17:30:00Z,Toledo Rockets,Bowling Green Falcons,draftkings,h2h,Toledo Rockets,-125,
